"player_id","_c1"
"beltrfr01","0"
"beltrri01","1"
"bemisha01","42"
"benarma01","102"
"benavfr01","20"
"benchjo01","108"
"bendech01","11"
"benedar01","3"
"benedbr01","43"
"benesal01","4"
"benesan01","8"
"benesjo01","1"
"bengera01","9"
"bengobe01","17"
"beniqju01","61"
"benitar01","0"
"benitya01","22"
"benjami01","46"
"benjast01","47"
"bennech01","59"
"benneda01","0"
"bennede01","5"
"benneer01","NULL"
"bennefr01","0"
"bennefr02","6"
"bennega01","26"
"bennehe01","46"
"benneik01","25"
"benneje01","0"
"bennejo01","0"
"bennejo02","1"
"bennepu01","66"
"bennesh01","0"
"bennhe01","0"
"benoijo01","1"
"bensoal01","0"
"bensojo01","3"
"bensokr01","7"
"bensove01","8"
"bentlcy01","25"
"bentlja01","19"
"bentoal01","5"
"bentobu01","5"
"bentola01","12"
"bentora01","1"
"bentoru01","8"
"bentosi01","0"
"bentzch01","0"
"benzito01","79"
"benzjo01","7"
"berarjo01","71"
"berbelo01","38"
"berblje01","1"
"bereja01","3"
"berenbr01","5"
"berenju01","0"
"bergaau01","51"
"bergda01","42"
"bergebi01","21"
"bergebo01","62"
"bergebr01","16"
"bergebr02","1"
"bergecl01","2"
"bergehe01","5"
"bergejo01","27"
"bergejo02","1"
"bergema01","62"
"bergepe01","80"
"bergetu01","64"
"bergewa01","98"
"berghjo01","2"
"berghma01","96"
"bergju01","0"
"bergmal01","2"
"bergmda01","42"
"bergmdu01","NULL"
"bergmja01","2"
"bergmo01","32"
"bergmse01","4"
"bergowi01","3"
"berkefr01","3"
"berkeja01","0"
"berkena01","0"
"berkmla01","114"
"berlyja01","2"
"bermabo01","0"
"bernacu01","11"
"bernadw01","0"
"bernajo01","0"
"bernaro01","52"
"bernato01","90"
"bernavi01","0"
"bernead01","1"
"bernhbi01","8"
"bernhju01","32"
"bernhwa01","0"
"bernica01","48"
"bernido01","0"
"berojo01","24"
"berrada01","64"
"berrade01","1"
"berrayo01","116"
"berrera01","22"
"berroan01","92"
"berroge01","101"
"berrych01","15"
"berrych02","41"
"berrycl01","35"
"berryda01","37"
"berryjo01","0"
"berryjo02","0"
"berryjo03","3"
"berryke01","51"
"berryne01","46"
"berryse01","55"
"berryto01","0"
"bertafr01","2"
"bertedi01","29"
"berteha01","1"
"berthha01","17"
"bertomi01","NULL"
"bertore01","44"
"bertrle01","0"
"beruman01","0"
"besanfr01","1"
"beschbo01","120"
"bessedo01","1"
"bessehe01","7"
"besti01","0"
"bestka01","NULL"
"beswiji01","2"
"betanra01","0"
"betanyu01","72"
"betchfr01","7"
"betemwi01","36"
"bethebi01","4"
"bethkji01","0"
"betteje01","NULL"
"bettela01","30"
"bettsha01","0"
"bettshu01","7"
"betzebr01","49"
"bevacku01","39"
"bevanha01","1"
"bevenbi01","5"
"beverja01","NULL"
"bevilbe01","2"
"bevilbr01","0"
"bevillo01","0"
"bevilmo01","23"
"biancbu01","24"
"biancto01","6"
"biasaha01","6"
"bibbyji01","6"
"bicheda01","114"
"bickfve01","9"
"bickhda01","2"
"bicknch01","0"
"biddlro01","0"
"bielaos01","35"
"bielemi01","3"
"biemiha01","0"
"bierblo01","128"
"bierbni01","3"
"bierdra01","NULL"
"biermch01","0"
"biesest01","16"
"bigbeca01","113"
"bigbely01","5"
"bigbila01","76"
"bigelel01","23"
"biggicr01","146"
"biggsch01","1"
"biglepe01","0"
"bignege01","4"
"biittla01","74"
"bilarda01","27"
"bilbrji01","0"
"bildiem01","4"
"bilkost01","72"
"billibr01","0"
"billibr02","0"
"billich01","4"
"billidi01","41"
"billiha01","1"
"billija01","5"
"billijo01","19"
"billijo02","7"
"binksge01","62"
"birasst01","0"
"birchju01","95"
"birddo01","1"
"birdfr01","9"
"birdge01","19"
"birdre01","0"
"birdsda01","51"
"birkbmi01","1"
"birkiku01","0"
"birkora01","6"
"birmijo01","55"
"birreba01","3"
"birtsti01","1"
"biscafr01","3"
"bischjo01","13"
"bisenjo01","0"
"bishobi01","0"
"bishobi02","0"
"bishoch01","2"
"bishofr01","1"
"bishoji01","1"
"bisholl01","0"
"bishoma01","117"
"bishomi01","2"
"bislari01","9"
"bissode01","102"
"bithohi01","7"
"bitkejo01","0"
"bittije01","1"
"bittmre01","2"
"bivinji01","3"
"bixlebr01","16"
"bjorkge01","8"
"blackbi01","0"
"blackbo01","25"
"blackbu01","1"
"blackbu02","3"
"blackch01","0"
"blackch02","9"
"blackda01","3"
"blackdo01","5"
"blackea01","12"
"blacket01","0"
"blackew01","10"
"blackfr01","3"
"blackge01","1"
"blackge02","8"
"blackji01","0"
"blackjo01","13"
"blackjo02","3"
"blackle01","52"
